char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word,question_image_version
0,W,85.0,92.0,14.41025641025641,33,0,0,question_5111,0,0,What,question_images_version_1
1,h,99.41025641025641,92.0,14.41025641025641,33,1,0,question_5111,0,0,What,question_images_version_1
2,a,113.82051282051282,92.0,14.41025641025641,33,2,0,question_5111,0,0,What,question_images_version_1
3,t,128.23076923076923,92.0,14.41025641025641,33,3,0,question_5111,0,0,What,question_images_version_1
4, ,142.64102564102564,92.0,14.41025641025641,33,4,0,question_5111,0,0,,question_images_version_1
5,c,157.05128205128204,92.0,14.41025641025641,33,5,0,question_5111,1,1,can,question_images_version_1
6,a,171.46153846153845,92.0,14.41025641025641,33,6,0,question_5111,1,1,can,question_images_version_1
7,n,185.87179487179486,92.0,14.41025641025641,33,7,0,question_5111,1,1,can,question_images_version_1
8, ,200.28205128205127,92.0,14.41025641025641,33,8,0,question_5111,1,1,,question_images_version_1
9,b,214.69230769230768,92.0,14.41025641025641,33,9,0,question_5111,2,2,be,question_images_version_1
10,e,229.1025641025641,92.0,14.41025641025641,33,10,0,question_5111,2,2,be,question_images_version_1
11, ,243.5128205128205,92.0,14.41025641025641,33,11,0,question_5111,2,2,,question_images_version_1
12,i,257.9230769230769,92.0,14.41025641025641,33,12,0,question_5111,3,3,infered,question_images_version_1
13,n,272.3333333333333,92.0,14.41025641025641,33,13,0,question_5111,3,3,infered,question_images_version_1
14,f,286.7435897435897,92.0,14.41025641025641,33,14,0,question_5111,3,3,infered,question_images_version_1
15,e,301.15384615384613,92.0,14.41025641025641,33,15,0,question_5111,3,3,infered,question_images_version_1
16,r,315.56410256410254,92.0,14.41025641025641,33,16,0,question_5111,3,3,infered,question_images_version_1
17,e,329.97435897435895,92.0,14.41025641025641,33,17,0,question_5111,3,3,infered,question_images_version_1
18,d,344.38461538461536,92.0,14.41025641025641,33,18,0,question_5111,3,3,infered,question_images_version_1
19, ,358.79487179487177,92.0,14.41025641025641,33,19,0,question_5111,3,3,,question_images_version_1
20,f,373.2051282051282,92.0,14.41025641025641,33,20,0,question_5111,4,4,from,question_images_version_1
21,r,387.6153846153846,92.0,14.41025641025641,33,21,0,question_5111,4,4,from,question_images_version_1
22,o,402.025641025641,92.0,14.41025641025641,33,22,0,question_5111,4,4,from,question_images_version_1
23,m,416.4358974358974,92.0,14.41025641025641,33,23,0,question_5111,4,4,from,question_images_version_1
24, ,430.8461538461538,92.0,14.41025641025641,33,24,0,question_5111,4,4,,question_images_version_1
25,e,445.2564102564102,92.0,14.41025641025641,33,25,0,question_5111,5,5,eye-movements?,question_images_version_1
26,y,459.66666666666663,92.0,14.41025641025641,33,26,0,question_5111,5,5,eye-movements?,question_images_version_1
27,e,474.07692307692304,92.0,14.41025641025641,33,27,0,question_5111,5,5,eye-movements?,question_images_version_1
28,-,488.48717948717945,92.0,14.41025641025641,33,28,0,question_5111,5,5,eye-movements?,question_images_version_1
29,m,502.89743589743586,92.0,14.41025641025641,33,29,0,question_5111,5,5,eye-movements?,question_images_version_1
30,o,517.3076923076923,92.0,14.41025641025641,33,30,0,question_5111,5,5,eye-movements?,question_images_version_1
31,v,531.7179487179487,92.0,14.41025641025641,33,31,0,question_5111,5,5,eye-movements?,question_images_version_1
32,e,546.1282051282052,92.0,14.41025641025641,33,32,0,question_5111,5,5,eye-movements?,question_images_version_1
33,m,560.5384615384617,92.0,14.41025641025641,33,33,0,question_5111,5,5,eye-movements?,question_images_version_1
34,e,574.9487179487181,92.0,14.41025641025641,33,34,0,question_5111,5,5,eye-movements?,question_images_version_1
35,n,589.3589743589746,92.0,14.41025641025641,33,35,0,question_5111,5,5,eye-movements?,question_images_version_1
36,t,603.7692307692311,92.0,14.41025641025641,33,36,0,question_5111,5,5,eye-movements?,question_images_version_1
37,s,618.1794871794875,92.0,14.41025641025641,33,37,0,question_5111,5,5,eye-movements?,question_images_version_1
38,?,632.589743589744,92.0,14.41025641025641,33,38,0,question_5111,5,5,eye-movements?,question_images_version_1
0,R,716.5600000000001,456.28000000000003,14.428571428571429,33,0,0,toy_text_2_5_question_5111_target,0,0,Reading,question_images_version_1
1,e,730.9885714285715,456.28000000000003,14.428571428571429,33,1,0,toy_text_2_5_question_5111_target,0,0,Reading,question_images_version_1
2,a,745.417142857143,456.28000000000003,14.428571428571429,33,2,0,toy_text_2_5_question_5111_target,0,0,Reading,question_images_version_1
3,d,759.8457142857144,456.28000000000003,14.428571428571429,33,3,0,toy_text_2_5_question_5111_target,0,0,Reading,question_images_version_1
