char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word,question_image_version
0,W,81.0,89.0,14,33,0,0,question_01111,0,0,What,question_images_version_1
1,h,95.0,89.0,14,33,1,0,question_01111,0,0,What,question_images_version_1
2,a,109.0,89.0,14,33,2,0,question_01111,0,0,What,question_images_version_1
3,t,123.0,89.0,14,33,3,0,question_01111,0,0,What,question_images_version_1
4, ,137.0,89.0,14,33,4,0,question_01111,0,0,,question_images_version_1
5,i,151.0,89.0,14,33,5,0,question_01111,1,1,is,question_images_version_1
6,s,165.0,89.0,14,33,6,0,question_01111,1,1,is,question_images_version_1
7, ,179.0,89.0,14,33,7,0,question_01111,1,1,,question_images_version_1
8,p,193.0,89.0,14,33,8,0,question_01111,2,2,pymovements?,question_images_version_1
9,y,207.0,89.0,14,33,9,0,question_01111,2,2,pymovements?,question_images_version_1
10,m,221.0,89.0,14,33,10,0,question_01111,2,2,pymovements?,question_images_version_1
11,o,235.0,89.0,14,33,11,0,question_01111,2,2,pymovements?,question_images_version_1
12,v,249.0,89.0,14,33,12,0,question_01111,2,2,pymovements?,question_images_version_1
13,e,263.0,89.0,14,33,13,0,question_01111,2,2,pymovements?,question_images_version_1
14,m,277.0,89.0,14,33,14,0,question_01111,2,2,pymovements?,question_images_version_1
15,e,291.0,89.0,14,33,15,0,question_01111,2,2,pymovements?,question_images_version_1
16,n,305.0,89.0,14,33,16,0,question_01111,2,2,pymovements?,question_images_version_1
17,t,319.0,89.0,14,33,17,0,question_01111,2,2,pymovements?,question_images_version_1
18,s,333.0,89.0,14,33,18,0,question_01111,2,2,pymovements?,question_images_version_1
19,?,347.0,89.0,14,33,19,0,question_01111,2,2,pymovements?,question_images_version_1
0,A,195.75,748.5,14,33,0,0,toy_text_1_1_question_01111_target,0,0,A,question_images_version_1
1, ,209.75,748.5,14,33,1,0,toy_text_1_1_question_01111_target,0,0,,question_images_version_1
2,P,223.75,748.5,14,33,2,0,toy_text_1_1_question_01111_target,1,1,Python,question_images_version_1
3,y,237.75,748.5,14,33,3,0,toy_text_1_1_question_01111_target,1,1,Python,question_images_version_1
4,t,251.75,748.5,14,33,4,0,toy_text_1_1_question_01111_target,1,1,Python,question_images_version_1
5,h,265.75,748.5,14,33,5,0,toy_text_1_1_question_01111_target,1,1,Python,question_images_version_1
6,o,279.75,748.5,14,33,6,0,toy_text_1_1_question_01111_target,1,1,Python,question_images_version_1
7,n,293.75,748.5,14,33,7,0,toy_text_1_1_question_01111_target,1,1,Python,question_images_version_1
8, ,307.75,748.5,14,33,8,0,toy_text_1_1_question_01111_target,1,1,,question_images_version_1
9,p,321.75,748.5,14,33,9,0,toy_text_1_1_question_01111_target,2,2,package,question_images_version_1
10,a,335.75,748.5,14,33,10,0,toy_text_1_1_question_01111_target,2,2,package,question_images_version_1
11,c,349.75,748.5,14,33,11,0,toy_text_1_1_question_01111_target,2,2,package,question_images_version_1
12,k,363.75,748.5,14,33,12,0,toy_text_1_1_question_01111_target,2,2,package,question_images_version_1
13,a,377.75,748.5,14,33,13,0,toy_text_1_1_question_01111_target,2,2,package,question_images_version_1
