char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word,question_image_version
0,W,81.0,89.0,14,33,0,0,question_05111,0,0,What,question_images_version_1
1,h,95.0,89.0,14,33,1,0,question_05111,0,0,What,question_images_version_1
2,a,109.0,89.0,14,33,2,0,question_05111,0,0,What,question_images_version_1
3,t,123.0,89.0,14,33,3,0,question_05111,0,0,What,question_images_version_1
4, ,137.0,89.0,14,33,4,0,question_05111,0,0,,question_images_version_1
5,c,151.0,89.0,14,33,5,0,question_05111,1,1,can,question_images_version_1
6,a,165.0,89.0,14,33,6,0,question_05111,1,1,can,question_images_version_1
7,n,179.0,89.0,14,33,7,0,question_05111,1,1,can,question_images_version_1
8, ,193.0,89.0,14,33,8,0,question_05111,1,1,,question_images_version_1
9,b,207.0,89.0,14,33,9,0,question_05111,2,2,be,question_images_version_1
10,e,221.0,89.0,14,33,10,0,question_05111,2,2,be,question_images_version_1
11, ,235.0,89.0,14,33,11,0,question_05111,2,2,,question_images_version_1
12,i,249.0,89.0,14,33,12,0,question_05111,3,3,infered,question_images_version_1
13,n,263.0,89.0,14,33,13,0,question_05111,3,3,infered,question_images_version_1
14,f,277.0,89.0,14,33,14,0,question_05111,3,3,infered,question_images_version_1
15,e,291.0,89.0,14,33,15,0,question_05111,3,3,infered,question_images_version_1
16,r,305.0,89.0,14,33,16,0,question_05111,3,3,infered,question_images_version_1
17,e,319.0,89.0,14,33,17,0,question_05111,3,3,infered,question_images_version_1
18,d,333.0,89.0,14,33,18,0,question_05111,3,3,infered,question_images_version_1
19, ,347.0,89.0,14,33,19,0,question_05111,3,3,,question_images_version_1
20,f,361.0,89.0,14,33,20,0,question_05111,4,4,from,question_images_version_1
21,r,375.0,89.0,14,33,21,0,question_05111,4,4,from,question_images_version_1
22,o,389.0,89.0,14,33,22,0,question_05111,4,4,from,question_images_version_1
23,m,403.0,89.0,14,33,23,0,question_05111,4,4,from,question_images_version_1
24, ,417.0,89.0,14,33,24,0,question_05111,4,4,,question_images_version_1
25,e,431.0,89.0,14,33,25,0,question_05111,5,5,eye-movements?,question_images_version_1
26,y,445.0,89.0,14,33,26,0,question_05111,5,5,eye-movements?,question_images_version_1
