char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word
0,T,81.0,89.0,14,33,0,0,page_1,0,0,This
1,h,95.0,89.0,14,33,1,0,page_1,0,0,This
2,i,109.0,89.0,14,33,2,0,page_1,0,0,This
3,s,123.0,89.0,14,33,3,0,page_1,0,0,This
4, ,137.0,89.0,14,33,4,0,page_1,0,0,
5,w,151.0,89.0,14,33,5,0,page_1,1,1,was
6,a,165.0,89.0,14,33,6,0,page_1,1,1,was
7,s,179.0,89.0,14,33,7,0,page_1,1,1,was
8, ,193.0,89.0,14,33,8,0,page_1,1,1,
9,t,207.0,89.0,14,33,9,0,page_1,2,2,the
10,h,221.0,89.0,14,33,10,0,page_1,2,2,the
11,e,235.0,89.0,14,33,11,0,page_1,2,2,the
12, ,249.0,89.0,14,33,12,0,page_1,2,2,
13,h,263.0,89.0,14,33,13,0,page_1,3,3,happy
14,a,277.0,89.0,14,33,14,0,page_1,3,3,happy
15,p,291.0,89.0,14,33,15,0,page_1,3,3,happy
16,p,305.0,89.0,14,33,16,0,page_1,3,3,happy
17,y,319.0,89.0,14,33,17,0,page_1,3,3,happy
18, ,333.0,89.0,14,33,18,0,page_1,3,3,
19,s,347.0,89.0,14,33,19,0,page_1,4,4,side
20,i,361.0,89.0,14,33,20,0,page_1,4,4,side
21,d,375.0,89.0,14,33,21,0,page_1,4,4,side
22,e,389.0,89.0,14,33,22,0,page_1,4,4,side
23, ,403.0,89.0,14,33,23,0,page_1,4,4,
24,o,417.0,89.0,14,33,24,0,page_1,5,5,of
25,f,431.0,89.0,14,33,25,0,page_1,5,5,of
26, ,445.0,89.0,14,33,26,0,page_1,5,5,
27,t,459.0,89.0,14,33,27,0,page_1,6,6,the
28,h,473.0,89.0,14,33,28,0,page_1,6,6,the
29,e,487.0,89.0,14,33,29,0,page_1,6,6,the
30, ,501.0,89.0,14,33,30,0,page_1,6,6,
31,h,515.0,89.0,14,33,31,0,page_1,7,7,"house,"
32,o,529.0,89.0,14,33,32,0,page_1,7,7,"house,"
