char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word,question_image_version
0,T,81.0,89.0,14,33,0,0,question_08111,0,0,This,question_images_version_1
1,h,95.0,89.0,14,33,1,0,question_08111,0,0,This,question_images_version_1
2,i,109.0,89.0,14,33,2,0,question_08111,0,0,This,question_images_version_1
3,s,123.0,89.0,14,33,3,0,question_08111,0,0,This,question_images_version_1
4, ,137.0,89.0,14,33,4,0,question_08111,0,0,,question_images_version_1
5,i,151.0,89.0,14,33,5,0,question_08111,1,1,is,question_images_version_1
6,s,165.0,89.0,14,33,6,0,question_08111,1,1,is,question_images_version_1
7, ,179.0,89.0,14,33,7,0,question_08111,1,1,,question_images_version_1
8,a,193.0,89.0,14,33,8,0,question_08111,2,2,a,question_images_version_1
9, ,207.0,89.0,14,33,9,0,question_08111,2,2,,question_images_version_1
10,v,221.0,89.0,14,33,10,0,question_08111,3,3,very,question_images_version_1
11,e,235.0,89.0,14,33,11,0,question_08111,3,3,very,question_images_version_1
12,r,249.0,89.0,14,33,12,0,question_08111,3,3,very,question_images_version_1
13,y,263.0,89.0,14,33,13,0,question_08111,3,3,very,question_images_version_1
14, ,277.0,89.0,14,33,14,0,question_08111,3,3,,question_images_version_1
15,l,291.0,89.0,14,33,15,0,question_08111,4,4,long,question_images_version_1
16,o,305.0,89.0,14,33,16,0,question_08111,4,4,long,question_images_version_1
17,n,319.0,89.0,14,33,17,0,question_08111,4,4,long,question_images_version_1
18,g,333.0,89.0,14,33,18,0,question_08111,4,4,long,question_images_version_1
19, ,347.0,89.0,14,33,19,0,question_08111,4,4,,question_images_version_1
20,q,361.0,89.0,14,33,20,0,question_08111,5,5,question,question_images_version_1
21,u,375.0,89.0,14,33,21,0,question_08111,5,5,question,question_images_version_1
22,e,389.0,89.0,14,33,22,0,question_08111,5,5,question,question_images_version_1
23,s,403.0,89.0,14,33,23,0,question_08111,5,5,question,question_images_version_1
