char,x,y,width,height,char_idx_in_line,line_idx,page,word
p,102.0,49,13.0,19,0,0,page_1,pymovements
y,115.0,49,13.0,19,1,0,page_1,pymovements
m,128.0,49,13.0,19,2,0,page_1,pymovements
o,141.0,49,13.0,19,3,0,page_1,pymovements
v,154.0,49,13.0,19,4,0,page_1,pymovements
e,167.0,49,13.0,19,5,0,page_1,pymovements
m,180.0,49,13.0,19,6,0,page_1,pymovements
e,193.0,49,13.0,19,7,0,page_1,pymovements
n,206.0,49,13.0,19,8,0,page_1,pymovements
t,219.0,49,13.0,19,9,0,page_1,pymovements
s,232.0,49,13.0,19,10,0,page_1,pymovements
A,102.0,49,13.0,16,0,0,page_2,ABSTRACT
B,115.0,49,13.0,16,1,0,page_2,ABSTRACT
S,128.0,49,13.0,16,2,0,page_2,ABSTRACT
T,141.0,49,13.0,16,3,0,page_2,ABSTRACT
R,154.0,49,13.0,16,4,0,page_2,ABSTRACT
A,167.0,49,13.0,16,5,0,page_2,ABSTRACT
C,180.0,49,13.0,16,6,0,page_2,ABSTRACT
T,193.0,49,13.0,16,7,0,page_2,ABSTRACT
p,102.0,143,13.0,21,0,0,page_2,pymovements:
y,115.0,143,13.0,21,1,0,page_2,pymovements:
m,128.0,143,13.0,21,2,0,page_2,pymovements:
o,141.0,143,13.0,21,3,0,page_2,pymovements:
v,154.0,143,13.0,21,4,0,page_2,pymovements:
e,167.0,143,13.0,21,5,0,page_2,pymovements:
m,180.0,143,13.0,21,6,0,page_2,pymovements:
e,193.0,143,13.0,21,7,0,page_2,pymovements:
n,206.0,143,13.0,21,8,0,page_2,pymovements:
t,219.0,143,13.0,21,9,0,page_2,pymovements:
s,232.0,143,13.0,21,10,0,page_2,pymovements:
:,245.0,143,13.0,21,11,0,page_2,pymovements:
 ,258.0,143,13.0,21,12,0,page_2,
A,271.0,143,13.0,21,13,0,page_2,A
 ,284.0,143,13.0,21,14,0,page_2,
P,297.0,143,13.0,21,15,0,page_2,Python
y,310.0,143,13.0,21,16,0,page_2,Python
t,323.0,143,13.0,21,17,0,page_2,Python
h,336.0,143,13.0,21,18,0,page_2,Python
o,349.0,143,13.0,21,19,0,page_2,Python
n,362.0,143,13.0,21,20,0,page_2,Python
 ,375.0,143,13.0,21,21,0,page_2,
p,388.0,143,13.0,21,22,0,page_2,package
a,401.0,143,13.0,21,23,0,page_2,package
c,414.0,143,13.0,21,24,0,page_2,package
k,427.0,143,13.0,21,25,0,page_2,package
a,440.0,143,13.0,21,26,0,page_2,package
g,453.0,143,13.0,21,27,0,page_2,package
e,466.0,143,13.0,21,28,0,page_2,package
 ,479.0,143,13.0,21,29,0,page_2,
f,492.0,143,13.0,21,30,0,page_2,for
o,505.0,143,13.0,21,31,0,page_2,for
r,518.0,143,13.0,21,32,0,page_2,for
 ,531.0,143,13.0,21,33,0,page_2,
e,544.0,143,13.0,21,34,0,page_2,eye
y,557.0,143,13.0,21,35,0,page_2,eye
e,570.0,143,13.0,21,36,0,page_2,eye
 ,583.0,143,13.0,21,37,0,page_2,
m,596.0,143,13.0,21,38,0,page_2,movement
o,609.0,143,13.0,21,39,0,page_2,movement
v,622.0,143,13.0,21,40,0,page_2,movement
e,635.0,143,13.0,21,41,0,page_2,movement
m,648.0,143,13.0,21,42,0,page_2,movement
e,661.0,143,13.0,21,43,0,page_2,movement
n,674.0,143,13.0,21,44,0,page_2,movement
t,687.0,143,13.0,21,45,0,page_2,movement
 ,700.0,143,13.0,21,46,0,page_2,
d,713.0,143,13.0,21,47,0,page_2,data
a,726.0,143,13.0,21,48,0,page_2,data
t,739.0,143,13.0,21,49,0,page_2,data
a,752.0,143,13.0,21,50,0,page_2,data
 ,765.0,143,13.0,21,51,0,page_2,
p,778.0,143,13.0,21,52,0,page_2,"processing,"
r,791.0,143,13.0,21,53,0,page_2,"processing,"
o,804.0,143,13.0,21,54,0,page_2,"processing,"
c,817.0,143,13.0,21,55,0,page_2,"processing,"
e,830.0,143,13.0,21,56,0,page_2,"processing,"
s,843.0,143,13.0,21,57,0,page_2,"processing,"
s,856.0,143,13.0,21,58,0,page_2,"processing,"
i,869.0,143,13.0,21,59,0,page_2,"processing,"
n,882.0,143,13.0,21,60,0,page_2,"processing,"
