pq_instructions,pq_text,
pq_program_name,Pyetësori për Pjesëmarrësit - MultiplEYE,
pq_program_description,Faleminderit që morët pjesë në eksperimentin MultiplEYE.,Ju lutem plotësoni formën mëposhtë duke ndjekur instruksionet.
pq_participant_id,ID e pjesëmarrësit:  ,
pq_next_button,Vazhdo,
pq_prev_button,Para,
pq_submit_button,Dërgo,
pq_clear_button,Fshi,
pq_add_language,Kliko për të shtuar një gjuhë të re,
pq_remove_language,Kliko për të fshirë një nga gjuhët,
pq_languages,Gjuhët,
pq_second_native_language,Gjuha e dytë amtare,
pq_third_native_language,Gjuha e tretë amtare,
pq_read_language,Gjuha,
pq_invalid_message,E pavlefshme,
pq_add_dialect,Kliko për të shtuar një dialekt të ri,
pq_dialect,Dialekt,
pq_select_language,Përzgjidh gjuhën,
pq_add_dialect,Shkruaj dialektin,
